date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-27,,,,4,,,VTGDF,2025
2026-03-27,,,,4,,,VGAS,2025
2026-03-27,,,,4,,,HOLO,2025
2026-03-27,-0.34,-0.2716,bmo,4,24289000.0,24970844.0,AUTL,2025
2026-03-27,-0.08,-0.0606,bmo,4,0.0,0.0,TMC,2025
2026-03-27,-0.16,-0.102,amc,4,0.0,0.0,HOTH,2025
2026-03-27,-0.64,-0.5028,dmh,4,0.0,0.0,MNPR,2025
2026-03-27,,,,4,,,UEEC,2025
2026-03-27,,-0.3162,amc,4,,,ENVB,2025
2026-03-27,,-0.1632,amc,4,,28065810.0,MKFG,2025
2026-03-27,,,,4,,,HCMC,2025
2026-03-27,-0.17,-0.3519,bmo,4,0.0,0.0,HOWL,2025
2026-03-27,,,,4,,,UG,2025
2026-03-27,0.14,0.1212,bmo,4,39567000.0,45896016.0,SBC,2025
2026-03-27,,,,4,,,NSTS,2025
2026-03-27,-0.53,-0.4208,bmo,4,22000.0,680003.0,SNTI,2025
2026-03-27,-38.54,-0.0816,amc,4,3020000.0,29682000.0,ORGN,2025
2026-03-27,,,,4,,,GOGY,2025
2026-03-27,-0.43,-1.6279,amc,4,,,CLDI,2025
2026-03-27,,,,4,,,OICT,2025
2026-03-27,0.2,0.1864,dmh,1,6165000000.0,6195646423.0,CCL,2026
2026-03-27,-1.985,-1.2415,amc,4,0.0,0.0,KZR,2025
2026-03-27,,,,4,,,MUEL,2025
2026-03-27,,,,4,,,TLNC,2025
2026-03-27,0.1,0.102,amc,4,2002000.0,1482060.0,LOAN,2025
2026-03-27,,,,4,,,HVMC,2025
2026-03-27,-0.58,-0.765,bmo,4,256000.0,165240.0,BTAI,2025
2026-03-27,,,,4,,,GSRF,2025
2026-03-27,,,,4,,,EMIS,2025
2026-03-27,-0.07,-0.0918,amc,4,,,ENTX,2025
2026-03-27,,,,4,,,CRACU,2025
2026-03-27,,,,4,,,ZNOG,2025
2026-03-27,,,,4,,,RSCF,2025
2026-03-27,,,,4,,,FUSE,2025
2026-03-27,,,,4,,,OTGA,2025
2026-03-27,-0.16,-0.3162,bmo,4,0.0,0.0,ADGM,2025
2026-03-27,-5.52,-5.508,amc,4,52000.0,51000.0,PAVM,2025
2026-03-27,,0.0,,4,,0.0,MTSR,2025
2026-03-28,,,,4,,,ALUB,2025
2026-03-30,,,,4,,,GRNQ,2025
2026-03-30,0.16,0.051,amc,4,0.0,58650000.0,HYAC,2025
2026-03-30,,-1.19,amc,4,0.0,0.0,RVPH,2025
2026-03-30,,,,4,,,CITR,2025
2026-03-30,-0.23,-0.1836,amc,4,4847000.0,6321623.0,ZSPC,2025
2026-03-30,-0.03,-0.0153,amc,4,444920.0,401880.0,NAKA,2025
2026-03-30,-0.06,-0.0816,amc,4,4324000.0,4227900.0,INLX,2025
2026-03-30,,-6.834,,4,,4901100.0,MOVE,2025
2026-03-30,,0.1122,amc,4,4545200.0,5434560.0,ICMB,2025
2026-03-30,,,,4,,,GLXZ,2025
2026-03-30,1.6,1.5995,amc,1,247799000.0,251329530.0,PRGS,2026
2026-03-30,-0.98,-1.0557,amc,4,312000.0,504900.0,SPCE,2025
2026-03-30,-0.28,-0.319,amc,4,0.0,0.0,ANNX,2025
2026-03-30,,,,4,,,ELAB,2025
2026-03-30,,,,4,,,IDXG,2025
2026-03-30,-0.27,-0.3208,amc,4,0.0,0.0,LXEO,2025
2026-03-30,0.15,,bmo,4,2040000.0,,RNGE,2025
2026-03-30,,,,4,,,BAYA,2025
2026-03-30,-2.34,-2.3256,amc,4,303000.0,545700.0,SXTP,2025
2026-03-30,,,,4,,,RDACU,2025
2026-03-30,0.0,,bmo,4,9140000.0,,ANNA,2025
2026-03-30,,,,1,,,KRAQ,2026
2026-03-30,-0.2,-0.204,bmo,4,,,IMSR,2025
2026-03-30,,,,4,,,TETAA,2025
2026-03-30,,,,4,,,VACH,2025
2026-03-30,-3.74,-4.9062,bmo,4,0.0,0.0,SNSE,2025
2026-03-30,-0.01,,amc,4,23560000.0,,SIEB,2025
2026-03-30,,,,4,,,PMVCD,2025
2026-03-30,,-0.6592,amc,4,,9218500.0,LICYF,2025
2026-03-30,-0.01,,bmo,4,590000.0,,GTHP,2025
2026-03-30,,,,3,,,PTIX,2026
2026-03-30,,,,4,,,SPKL,2025
2026-03-30,,,,4,,,CISO,2025
2026-03-30,-0.819,-0.4828,bmo,4,0.0,0.0,UNCY,2025
2026-03-30,,,,4,,,FBYD,2025
2026-03-30,,,,4,,,LOKVU,2025
2026-03-30,,,,4,,,XBP,2025
2026-03-30,,,,4,,,LSMG,2025
2026-03-30,-0.05,-0.0306,amc,4,2390000.0,5327970.0,VRME,2025
2026-03-30,,,,4,,,PTIX,2025
2026-03-30,,,,2,,,DTGI,2026
2026-03-30,,,,4,,,PIAC,2025
2026-03-30,,-0.2652,amc,4,,,GNPX,2025
2026-03-30,,,,4,,,DLTI,2025
2026-03-30,,,,4,,,CMRF,2025
2026-03-30,-0.38,,amc,4,24030000.0,,SPRU,2025
2026-03-30,,,,4,,,LVPR,2025
2026-03-30,,-0.0204,bmo,4,,359856000.0,SHCO,2025
2026-03-30,,,,4,,,EUBG,2025
2026-03-30,,-0.2244,amc,4,0.0,0.0,ALLR,2025
2026-03-30,,,,4,,,LHTV,2025
2026-03-30,-0.79,-0.1836,amc,4,0.0,0.0,KTTA,2025
2026-03-30,,,,2,,,RYET,2026
2026-03-30,,,,4,,,DWSN,2025
2026-03-30,0.1,0.1729,amc,4,83010000.0,108459996.0,PROP,2025
2026-03-30,-0.36,-0.4692,amc,4,0.0,0.0,LTRN,2025
2026-03-30,,,,4,,,SPCO,2025
